Undibacterium sp.,ERR1942289.1,gi|1376492537|gb|MH191157.1|,100.00,217,0,0,1,217,316,100,4e-108,401
Nocardiopsis sp. OAct761,ERR1942289.3,gi|1043220226|gb|KU884378.1|,99.18,244,2,0,1,244,302,59,9e-120,440
Nocardioides sp. RW28,ERR1942289.4,gi|471434763|dbj|AB810249.1|,97.44,234,3,3,1,232,271,39,2e-106,396
Microvirga soli,ERR1942289.5,gi|1384992302|ref|NR_156051.1|,99.10,222,2,0,2,223,282,61,1e-107,399
Microbacterium sp.,ERR1942289.6,gi|1336599833|gb|MG859509.1|,99.55,224,1,0,1,224,264,41,2e-110,409
Salinibacterium xinjiangense,ERR1942289.8,gi|1402368400|gb|MH482216.1|,98.21,223,4,0,1,223,274,52,8e-105,390
Cutibacterium acnes,ERR1942289.9,gi|1285277047|gb|MG597274.1|,99.16,237,2,0,1,237,260,24,7e-116,427
Corynebacterium sp. oral taxon B00,ERR1942289.10,gi|285201062|gb|GU429073.1|,99.12,227,2,0,1,227,313,87,2e-110,409
bacterium 21_oclvp54,ERR1942289.11,gi|524853227|gb|KF160485.1|,100.00,219,0,0,1,219,279,61,3e-109,405
bacterium NLAE-zl-C349,ERR1942289.12,gi|379364486|gb|JQ608060.1|,87.06,201,24,2,1,201,308,110,2e-55,226
Pseudomonas sp. KS,ERR1942289.13,gi|816849807|gb|KP271519.1|,100.00,222,0,0,1,222,271,50,6e-111,411
bacterium,ERR1942289.14,gi|301240029|gb|HM703378.1|,98.36,244,4,0,1,244,315,72,2e-116,429
Nocardiopsis sp. OAct761,ERR1942289.15,gi|1043220226|gb|KU884378.1|,99.59,244,1,0,1,244,302,59,2e-121,446
bacterium FB2012,ERR1942289.16,gi|575790801|gb|KF697933.1|,89.67,213,21,1,1,213,313,102,8e-70,274
Massilia aurea,ERR1942289.17,gi|1378307000|gb|MH216669.1|,100.00,218,0,0,1,218,261,44,1e-108,403
Micrococcaceae bacterium,ERR1942289.18,gi|1407776485|gb|MH512438.1|,100.00,242,0,0,1,242,287,46,5e-122,448
Micrococcaceae bacterium,ERR1942289.19,gi|1407776485|gb|MH512438.1|,99.59,242,1,0,1,242,287,46,2e-120,442
Lachnobacterium sp. wal 14165,ERR1942289.20,gi|57283069|emb|AJ518873.1|,94.96,238,12,0,1,238,338,101,9e-100,374
Pseudomonas sp.,ERR1942289.21,gi|1440446664|gb|MH704263.1|,100.00,221,0,0,1,221,224,4,2e-110,409
Sphingomonas qilianensis,ERR1942289.22,gi|1171002978|ref|NR_146363.1|,100.00,218,0,0,1,218,298,81,1e-108,403
Corynebacterium tuberculostearicum,ERR1942289.23,gi|1075662684|gb|KX959619.1|,99.57,235,1,0,1,235,261,27,2e-116,429
bacterium,ERR1942289.24,gi|301210549|gb|HM673898.1|,98.76,241,3,0,1,241,277,37,2e-116,429
Anaeroplasma abactoclasticum,ERR1942289.25,gi|265678861|ref|NR_029167.1|,84.71,242,28,7,1,236,323,85,2e-57,233
Clostridiales bacterium 24-4c,ERR1942289.26,gi|312064779|gb|HQ452852.1|,94.63,205,11,0,1,205,343,139,4e-83,318
Corynebacterium sp. oral taxon B00,ERR1942289.27,gi|285201058|gb|GU429071.1|,99.57,233,1,0,1,233,313,81,2e-115,425
Brachybacterium sp. o16,ERR1942289.28,gi|145293816|dbj|AB272814.1|,99.14,233,2,0,1,233,309,77,1e-113,420
Lachnospiraceae bacterium DW52,ERR1942289.29,gi|1023747094|gb|KX009926.1|,92.07,227,13,5,1,224,311,87,5e-82,315
